user_query,user_query_timestamp,system_response,system_response_timestamp,session_name
Do you share your caregiving role with students or colleagues?,2024-11-02 09:09:12,"Selectively. I've mentioned it in class when relevant, and students have responded with unexpected openness. Several have shared their own family situations. It changed the dynamic in a meaningful way.",2024-11-02 09:10:26,session_faculty_002
What policies would you advocate for?,2024-11-02 09:10:48,"Paid caregiving leave, equivalent to parental leave. Flexibility in teaching schedules for ongoing situations, not just acute ones. And a recognition that caregiving often isn't temporary — it can last years.",2024-11-02 09:12:02,session_faculty_002
How has your sense of professional identity shifted?,2024-11-02 09:12:17,"I used to define myself almost entirely by my productivity. Now I've had to make room for other definitions of who I am. It's been uncomfortable and also, honestly, freeing.",2024-11-02 09:13:38,session_faculty_002
What keeps you going?,2024-11-02 09:13:55,The work still matters to me. My students matter. And my husband — even in hard moments — is my person. Love is not an abstract thing when you're in the thick of caregiving. It's very concrete and very daily.,2024-11-02 09:14:54,session_faculty_002
Tell me about who you're caring for.,2024-11-03 09:00:00,"My father has end-stage kidney disease. He's on dialysis three times a week and I coordinate his appointments, manage his medications, and communicate with his medical team. He lives alone nearby.",2024-11-03 09:00:44,session_faculty_003
How do you manage the coordination from a distance?,2024-11-03 09:01:20,A lot of phone calls. I've built relationships with his care team so they know to call me directly. I've had to become fluent in a medical language I never anticipated needing.,2024-11-03 09:02:03,session_faculty_003
What does a dialysis day look like for you?,2024-11-03 09:02:20,"I pick him up at 6am, take him to the clinic, sit with him for two hours if I can, then get to campus by 10. On days I can't stay, I worry the whole morning. My phone is never far from my hand.",2024-11-03 09:03:27,session_faculty_003
Has your department been accommodating?,2024-11-03 09:03:56,My chair gave me permission to shift my Tuesday office hours. That was significant. But it happened because I asked directly and had a supportive supervisor. It wasn't a given.,2024-11-03 09:05:09,session_faculty_003
What role does uncertainty play in your life right now?,2024-11-03 09:05:37,"Uncertainty is constant. His prognosis is unclear. We may be looking at a transplant waitlist, or we may not. I've had to learn to make plans while holding them loosely.",2024-11-03 09:06:49,session_faculty_003
How do you cope with anticipatory grief?,2024-11-03 09:07:24,I wasn't aware of the concept until my therapist named it. Now I recognize it. I grieve moments before they end. My father's laugh. His stubbornness. Things I'll miss that I'm still experiencing.,2024-11-03 09:08:01,session_faculty_003
How has this changed your relationship with him?,2024-11-03 09:08:18,"We're closer than we've ever been. He was a private man, not emotionally expressive. The illness has opened something between us. We talk about things we never talked about before.",2024-11-03 09:09:46,session_faculty_003
What would you say to a colleague just beginning this journey?,2024-11-03 09:10:10,Don't wait to ask for help. Both at work and personally. Pride is expensive when you're this depleted. People want to help more than we let them.,2024-11-03 09:10:46,session_faculty_003
How do you protect your research time?,2024-11-03 09:11:08,I write on his dialysis days during the two hours he's in the chair. It's become a ritual. I've written some of my best work in that waiting room.,2024-11-03 09:12:11,session_faculty_003
Is there anything the university could do better?,2024-11-03 09:12:43,A caregiving registry or resource hub would help enormously. Something centralized so you're not hunting for information when you're already overwhelmed.,2024-11-03 09:14:10,session_faculty_003
Introduce yourself and your caregiving context.,2024-11-04 09:00:00,"I'm a professor of social work and I care for my mother and my adult son with autism. Yes, two caregiving roles simultaneously. People find that surprising, but it's my reality.",2024-11-04 09:00:35,session_faculty_004
How do you hold two caregiving roles at once?,2024-11-04 09:01:19,With great difficulty and a lot of calendar management. They have different needs but both need me present. Some days I feel like I'm failing both of them and also my students.,2024-11-04 09:01:53,session_faculty_004
You work in social work — does that professional lens help or complicate things?,2024-11-04 09:02:22,"Both. I know what good care systems look like, which means I'm acutely aware of the gaps. And I sometimes slip into professional mode with my own family, which isn't always what they need.",2024-11-04 09:02:55,session_faculty_004
What does your son's care look like?,2024-11-04 09:03:19,"He's 26 and lives in a supported living program. I'm involved in his care planning, advocate for him with providers, and see him every weekend. The program is good but it requires sustained family engagement.",2024-11-04 09:04:38,session_faculty_004
And your mother?,2024-11-04 09:04:57,She's 80 and physically healthy but has significant anxiety. She calls frequently. I've learned to set gentle limits while still being present. It's a skill I teach to families — and it's harder than I admit.,2024-11-04 09:06:01,session_faculty_004
What's the hardest part of dual caregiving?,2024-11-04 09:06:32,When both situations flare at once. My son had a behavioral crisis the same week my mother had a fall. I was on the phone in the hospital hallway coordinating two things at once. I barely held it together.,2024-11-04 09:07:52,session_faculty_004
How has your professional community responded?,2024-11-04 09:08:24,Colleagues in social work are more aware of caregiving dynamics than most. But awareness doesn't always translate into institutional support. Empathy without policy changes is limited.,2024-11-04 09:09:16,session_faculty_004
What do you wish you'd known earlier?,2024-11-04 09:09:38,"That caregiving changes you, not just your schedule. It's changed how I teach, what I prioritize, what I think matters. I'm a different scholar than I was ten years ago.",2024-11-04 09:10:22,session_faculty_004
How do you maintain your own wellbeing?,2024-11-04 09:10:47,"I run. Even on terrible days, thirty minutes outside resets something in me. And I have a small group of friends who don't want to talk about work or caregiving — they save me.",2024-11-04 09:11:21,session_faculty_004
What would you tell institutions listening to this?,2024-11-04 09:12:00,"Caregiver faculty are doing invisible labor that enriches their scholarship and teaching. Support them structurally, not just rhetorically.",2024-11-04 09:13:08,session_faculty_004
Tell me about your caregiving experience.,2024-11-05 09:00:00,"I care for my grandmother, who raised me. She's 91 and has congestive heart failure. She lives in my home. We have a hired caregiver weekdays, but I'm fully on in the evenings and on weekends.",2024-11-05 09:00:56,session_faculty_005
What does the emotional dimension feel like?,2024-11-05 09:01:30,She's my family in the deepest sense. This isn't obligation — it's love. But love doesn't make it easy. Watching her decline is one of the hardest things I've ever faced.,2024-11-05 09:02:46,session_faculty_005
How does evening caregiving affect your professional work?,2024-11-05 09:03:26,"Most of my intellectual labor happens in stolen hours — early morning before she's awake, or during her afternoon rest. I've become very efficient out of necessity.",2024-11-05 09:04:54,session_faculty_005
How do colleagues perceive your availability?,2024-11-05 09:05:28,I think there's an assumption that faculty without young children are more available. I've had to correct that assumption directly and more than once.,2024-11-05 09:06:13,session_faculty_005
What has surprised you about this season of life?,2024-11-05 09:06:45,How much I've learned from her. She tells me stories about her life I never heard before. Caregiving has given us a closeness and a depth of conversation I didn't expect.,2024-11-05 09:07:52,session_faculty_005
Have you had to make professional sacrifices?,2024-11-05 09:08:34,"I turned down a visiting fellowship overseas. That was hard. I wanted to go. But the timing wasn't right given her health. I made peace with it, eventually.",2024-11-05 09:09:16,session_faculty_005
What resources have been most useful to you?,2024-11-05 09:09:52,"An online caregiver support group — it sounds small, but being with people who understand at 10pm when I can't sleep has been invaluable.",2024-11-05 09:10:46,session_faculty_005
How has your discipline shaped your caregiving?,2024-11-05 09:11:13,"I'm a gerontologist. So I came in with knowledge, which helped with medical decisions. But it also meant I could see what was coming. That was a double-edged sword.",2024-11-05 09:11:55,session_faculty_005
What does dignity mean to you in this context?,2024-11-05 09:12:24,"It means letting her make choices even when her choices worry me. She decides what she eats, when she sleeps, who she sees. Her autonomy matters more than my efficiency.",2024-11-05 09:13:19,session_faculty_005
What do you hope comes from sharing your story?,2024-11-05 09:13:51,"That institutions start counting this as part of faculty life, not separate from it. We are whole people. Our caregiving shapes our scholarship. It should be visible.",2024-11-05 09:14:33,session_faculty_005
Can you describe your caregiving role?,2024-11-06 09:00:00,My partner had a traumatic brain injury in a car accident four years ago. He's recovered significantly but still has cognitive and emotional dysregulation. I manage a lot behind the scenes.,2024-11-06 09:01:12,session_faculty_006
What does 'behind the scenes' management involve?,2024-11-06 09:01:55,"Monitoring his mood, pre-empting stressors, managing appointments, communicating with his rehab team. It's constant low-level vigilance that most people can't see.",2024-11-06 09:02:33,session_faculty_006
How has this changed your experience of time?,2024-11-06 09:03:12,"I'm never fully off. Even when I'm lecturing, there's a part of me tracking — has he texted, is he okay. It's exhausting to have a divided mind.",2024-11-06 09:03:55,session_faculty_006
How has your institution supported you?,2024-11-06 09:04:33,"I was given a modified schedule for the first year after the accident. Since then, it's been assumed I've returned to normal. But 'normal' doesn't exist for us anymore.",2024-11-06 09:05:18,session_faculty_006
What do you wish more people understood about acquired disability caregiving?,2024-11-06 09:05:43,That it's not visible the way some caregiving is. He looks fine. People don't understand what's underneath. I live in the gap between how he appears and what I actually manage.,2024-11-06 09:06:29,session_faculty_006
Has this experience affected your research?,2024-11-06 09:07:10,"I study disability and labor. Living this has made my work more urgent and, I think, more honest. I have a kind of methodological humility now that I didn't before.",2024-11-06 09:08:28,session_faculty_006
How do you navigate your own needs?,2024-11-06 09:09:12,"Poorly, for a long time. I've gotten better. I have a therapist. I've told a few trusted colleagues. I try to remember that my sustainability matters for his care too.",2024-11-06 09:09:47,session_faculty_006
What's one moment that stands out from this experience?,2024-11-06 09:10:10,The first time he laughed at a joke again — really laughed — after months of flat affect. I went to the bathroom and cried for ten minutes. Joy and grief mixed up together.,2024-11-06 09:11:38,session_faculty_006
What changes would help caregiver faculty like you?,2024-11-06 09:12:04,"Recognition that caregiving for a partner with disability is ongoing, not episodic. And that asking for flexibility shouldn't require a crisis. Steady accommodation matters.",2024-11-06 09:12:59,session_faculty_006
Is there anything else you'd like to add?,2024-11-06 09:13:30,Just that this work — this interview — feels meaningful. Being asked is itself something. We're used to making ourselves invisible. Being seen matters.,2024-11-06 09:14:18,session_faculty_006
Please introduce your caregiving situation.,2024-11-07 09:00:00,"I care for my younger sister, who has schizophrenia. I'm ten years older. Our parents are gone. I'm the only family she has. She lives in an apartment nearby with case management support.",2024-11-07 09:01:28,session_faculty_007
What does your caregiving involve on a weekly basis?,2024-11-07 09:02:11,"I bring her groceries, take her to her psychiatrist appointments, manage her benefits paperwork, and check in daily by phone. When she's in a bad episode, I may spend significant time at her place.",2024-11-07 09:02:41,session_faculty_007
What's it like to be a sibling caregiver rather than a parent or spouse?,2024-11-07 09:03:25,"It's less legible. There's no cultural script for it. People understand parental or spousal caregiving intuitively. Sibling caregiving is less visible, which can make the isolation more acute.",2024-11-07 09:04:29,session_faculty_007
How has mental illness caregiving shaped your perspective?,2024-11-07 09:04:55,"It's given me deep respect for complexity. Her life has not gone as planned, but it is still a life. She has insight, humor, preferences. I resist narratives that reduce her to her diagnosis.",2024-11-07 09:05:45,session_faculty_007
How do colleagues respond when you share this?,2024-11-07 09:06:10,Most don't know. Mental illness still carries stigma. I've disclosed to a small number of trusted people. The responses have ranged from generous to clumsy to accidentally hurtful.,2024-11-07 09:07:10,session_faculty_007
What has been the most challenging moment?,2024-11-07 09:07:35,A hospitalization two years ago when I was mid-semester with a packed teaching schedule. I essentially ran two lives simultaneously for six weeks. I didn't sleep enough for months.,2024-11-07 09:08:51,session_faculty_007
What support do you rely on?,2024-11-07 09:09:13,"A social worker who knows our situation, my therapist, and one colleague who asks how I am and means it. It's a small circle but it holds.",2024-11-07 09:09:54,session_faculty_007
Has this experience informed your scholarship?,2024-11-07 09:10:14,I study community and belonging. Living at the margins of what institutions recognize has made me a sharper analyst of who gets counted and who doesn't.,2024-11-07 09:10:55,session_faculty_007
What policy change would most help you?,2024-11-07 09:11:33,"Mental health parity in caregiving leave policies. Right now, most policies are written around physical illness. Mental illness caregiving is equally demanding and equally invisible.",2024-11-07 09:12:52,session_faculty_007
How do you hold hope in this situation?,2024-11-07 09:13:08,"She's stable right now, and I've learned to really inhabit that. Stability is not a small thing. I don't take good weeks for granted anymore.",2024-11-07 09:14:07,session_faculty_007
Tell me about your experience as a caregiver faculty member.,2024-11-08 09:00:00,"I'm a first-generation college student turned faculty member, and I care for my parents, who are immigrants and aging. Neither speaks fluent English. I'm their interpreter in every sense.",2024-11-08 09:01:26,session_faculty_008
What does being a linguistic and cultural interpreter involve?,2024-11-08 09:02:10,"Medical appointments, insurance calls, legal documents, pharmacy questions. I translate not just language but context — what doctors mean, what rights they have, how systems work.",2024-11-08 09:02:57,session_faculty_008
How does that fit into your academic life?,2024-11-08 09:03:13,It's constant context-switching. I might finish a seminar and immediately take a call from a cardiologist. There's no transition time. My students don't see the person I have to become five minutes later.,2024-11-08 09:04:41,session_faculty_008
Do you feel a cultural obligation around caregiving?,2024-11-08 09:05:13,"Deeply. In my family and community, you care for your parents. It's not a choice — it's identity. But I've also absorbed American professional norms that pathologize the time it takes.",2024-11-08 09:06:35,session_faculty_008
What's the friction between those two frameworks?,2024-11-08 09:07:14,Enormous. I feel guilty for not being more available at home. I feel guilty for not being more productive at work. The guilt doesn't cancel out — it compounds.,2024-11-08 09:07:57,session_faculty_008
How do you talk about this with your department?,2024-11-08 09:08:27,Carefully. I worry about being seen as not serious. First-generation faculty already navigate assumptions about commitment. Adding 'and I have extensive caregiving responsibilities' feels risky.,2024-11-08 09:09:25,session_faculty_008
What would you say to an administrator reading this research?,2024-11-08 09:10:05,That diverse faculty carry invisible loads that are culturally specific. Caregiving norms differ. Support structures should be flexible enough to account for that.,2024-11-08 09:10:51,session_faculty_008
What gives you strength in this role?,2024-11-08 09:11:36,"My parents' resilience. They built a life in a country that wasn't built for them. Caring for them feels like honoring that. Even on the hardest days, there's meaning in it.",2024-11-08 09:12:37,session_faculty_008
What's one thing you do just for yourself?,2024-11-08 09:13:19,I cook on Sundays. Not for anyone else — just for the pleasure of it. The recipes are my grandmother's. It connects me to something that exists outside of caregiving and academia.,2024-11-08 09:13:56,session_faculty_008
What do you hope this research accomplishes?,2024-11-08 09:14:27,That institutions see caregiving not as a deviation from the academic norm but as part of what it means to be a human being who also happens to be a scholar.,2024-11-08 09:15:46,session_faculty_008
Can you describe your caregiving role?,2024-11-09 09:00:00,"I'm caring for my mother-in-law, who has advanced COPD. My spouse works full-time outside the home, so during the day I'm primary. I teach in the afternoons, which helps.",2024-11-09 09:00:40,session_faculty_009
What does a morning with her look like?,2024-11-09 09:01:00,"Medication at 7am, nebulizer treatment, help with bathing on difficult days, and a lot of conversation. She's cognitively sharp and lonely. The companionship piece takes real time and attention.",2024-11-09 09:02:30,session_faculty_009
How does your afternoon teaching schedule accommodate caregiving?,2024-11-09 09:02:55,"It was designed around it, which I feel fortunate about. I was intentional in negotiating my schedule when this began. Not everyone has that leverage.",2024-11-09 09:03:25,session_faculty_009
What has this experience taught you about your marriage?,2024-11-09 09:03:52,That we have to be deliberate about us. It's easy for the relationship to become all logistics. We protect one night a week — just us. It's not romantic so much as necessary.,2024-11-09 09:04:54,session_faculty_009
What's the hardest conversation you've had in this role?,2024-11-09 09:05:25,"Talking with her about advance directives. She wanted to talk about it; we'd been avoiding it. When we finally sat down with her, it was one of the most important conversations of my life.",2024-11-09 09:06:14,session_faculty_009
How do you manage the medical complexity?,2024-11-09 09:06:55,"I've become fluent in respiratory care by necessity. I keep a binder — medications, contacts, recent readings, insurance numbers. Organization is how I feel a sense of control.",2024-11-09 09:08:05,session_faculty_009
What's your relationship with uncertainty?,2024-11-09 09:08:23,I'm better than I was. I've accepted that I can't predict the trajectory. What I can control is the quality of care and presence today. That's enough to focus on.,2024-11-09 09:09:08,session_faculty_009
How has this influenced your teaching?,2024-11-09 09:09:44,"I teach nursing students. I now bring case examples drawn loosely from our experience. It's made the curriculum more real and, I think, more humane.",2024-11-09 09:10:51,session_faculty_009
What institutional support would help?,2024-11-09 09:11:09,A caregiver liaison in HR — one person who knows the policies and can help faculty navigate without having to research it themselves while already overwhelmed.,2024-11-09 09:11:49,session_faculty_009
Is there anything you want to say in closing?,2024-11-09 09:12:29,"That this experience has made me more human. I don't say that lightly. I mean it changed something fundamental in how I understand dependency, love, and what it means to show up.",2024-11-09 09:13:25,session_faculty_009
Tell me about yourself and your caregiving situation.,2024-11-10 09:00:00,"I'm a lecturer in computer science. I care for my father, who has vascular dementia. He lives in memory care, forty-five minutes away. I visit twice a week and manage all decisions.",2024-11-10 09:00:50,session_faculty_010
What does managing all decisions mean in practice?,2024-11-10 09:01:21,"Every medication change, every therapy assessment, every financial decision, every communication with the facility. I have a binder, a shared folder, and an ongoing email chain with his care team.",2024-11-10 09:02:21,session_faculty_010
How does dementia caregiving differ from other forms?,2024-11-10 09:03:04,"The person is still there but also, in some ways, not. You grieve them while they're alive. He doesn't always know me. When he does, it's a gift. When he doesn't, I have to hold that alone.",2024-11-10 09:03:44,session_faculty_010
How do you process the ambiguous loss?,2024-11-10 09:04:27,"Therapy, mostly. And writing. I keep a journal, which is unusual for me — I'm a technical person. But it helps to put it into words, to mark what's happening.",2024-11-10 09:05:22,session_faculty_010
How has this changed your relationship with your discipline?,2024-11-10 09:05:57,I've become interested in assistive technology for dementia patients. My caregiving experience is shaping my research agenda in ways I didn't plan but now feel grateful for.,2024-11-10 09:07:20,session_faculty_010
What does the drive to the memory care facility feel like?,2024-11-10 09:07:55,It's forty-five minutes of mental preparation. I think about who he might be that day. Whether he'll be clear or confused. Whether he'll be in pain. I arrive ready for anything.,2024-11-10 09:09:19,session_faculty_010
How are you perceived in your department?,2024-11-10 09:09:58,I'm not sure my colleagues know the full scope. Lecturers are often less visible than tenure-track faculty to begin with. I carry this largely in private.,2024-11-10 09:10:56,session_faculty_010
What would you want a mentor to have told you?,2024-11-10 09:11:24,That asking for help is not weakness. That you can't sprint through a marathon. That the work will still be there — but be careful about what you sacrifice to finish it faster.,2024-11-10 09:11:58,session_faculty_010
How do you stay connected to joy?,2024-11-10 09:12:36,My dog. Music I loved in college. A standing dinner with two close friends who knew my father before. I protect those anchors fiercely.,2024-11-10 09:14:01,session_faculty_010
Any final thoughts?,2024-11-10 09:14:16,That we need to stop treating caregiving as an asterisk on a faculty career and start seeing it as evidence of a full human life. Our institutions should reflect that.,2024-11-10 09:14:49,session_faculty_010
